Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_credited,Curricular_units_2nd_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_2nd_sem_enrolled,avg_grade,total_approved_units,pass_rate,grade_improvement,performance_drop,approval_rate_1st_sem,approval_rate_2nd_sem,Gender,Scholarship_holder,Debtor,Tuition_fees_up_to_date,Displaced,Daytime_evening_attendance,Admission_grade,Previous_qualification_grade,Status
-1.4800337474133236,-2.0832243070150342,-1.4290139492910132,-1.8310853697339375,-0.3045174163605091,-0.2876857311500217,-2.4655379774633057,-2.7826911557917358,-2.031814246680014,-1.4862392654823797,-1.7967551156591985,0.16884141183302545,-0.41485182201199383,-1.851221288281671,-1.6553199296368235,0,0,0,1,1,0,0.00041484624840820716,-0.8250342298800831,0
0.37330581555236303,0.6852169811434977,0.46855487253304884,0.6623828218128862,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,0.7008427674435364,0.4294459661913134,0.8405225754708946,0.0559880799280879,-0.41485182201199383,0.7935095109170605,0.8423163523906191,0,0,0,0,1,0,1.040849237257138,2.0458046742478526,1
-1.4800337474133236,-2.0832243070150342,-1.4290139492910132,-1.8310853697339375,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,-2.031814246680014,-1.4862392654823797,-1.7967551156591985,0.16884141183302545,-0.41485182201199383,-1.851221288281671,-1.6553199296368235,0,0,0,0,1,0,-0.17070923122013287,-0.8250342298800831,0
0.37330581555236303,0.5722193775451904,0.15229340222903848,0.4312808918646442,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,0.5192927489492698,0.2698055302185056,0.6207494345433866,-0.1793917266164955,2.4104992359683766,0.7935095109170605,0.42604363871937867,1,0,0,1,1,0,-0.5266473123546985,-0.8250342298800831,1
0.06441588839141525,0.3556406373151012,0.46855487253304884,0.5407502271032851,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,0.4703777180596229,0.2698055302185056,0.6207494345433866,0.3945480756429,-0.41485182201199383,0.3527210443839387,0.8423163523906191,1,0,0,1,0,1,0.9723996062697218,-2.48709885858573,1
0.06441588839141525,0.26147596764984504,0.15229340222903848,0.2670768890066825,-0.3045174163605091,-0.2876857311500217,-0.5203297926791717,-0.5729499728367128,0.275187931336512,0.11016509424569786,0.8405225754708946,0.047927127649163834,-0.41485182201199383,0.7935095109170605,0.8423163523906191,0,0,1,1,0,1,-0.8552055410942973,0.013552923694129249,1
0.6821957427133108,0.5467949167355713,1.1010778131410695,0.7861439869299056,-0.3045174163605091,-0.2876857311500217,0.25775348123448183,0.7528947369363009,0.6987027348421149,0.9083672741097367,0.8405225754708946,0.5226366073550041,-0.41485182201199383,0.7935095109170605,0.8423163523906191,1,1,0,1,1,0,0.07570944033456686,0.6859336143977778,1
-1.4800337474133236,-2.0832243070150342,-1.4290139492910132,-1.8310853697339375,-0.3045174163605091,-0.2876857311500217,-0.5203297926791717,-0.5729499728367128,-2.031814246680014,-1.4862392654823797,-1.7967551156591985,0.16884141183302545,-0.41485182201199383,-1.851221288281671,-1.6553199296368235,0,0,0,0,1,0,-0.9715699137729054,-1.0516794065217623,0
0.37330581555236303,0.660498755356368,0.46855487253304884,0.7492632466054585,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,0.7355301090599929,0.4294459661913134,0.8405225754708946,0.2595271249709214,-0.41485182201199383,0.7935095109170605,0.8423163523906191,1,1,0,1,0,0,0.13731410822324205,0.30819165332831255,1
0.06441588839141525,0.17107788477119906,-0.7964910086829925,0.631974673135486,-0.3045174163605091,-0.2876857311500217,-0.13128815572234495,-0.1310017362457082,0.4275770660311814,-0.36875621367272543,-0.25834312916664415,0.8798174028341307,-0.41485182201199383,0.3527210443839387,-0.8227745022943428,1,0,1,0,1,0,-0.29391856699748226,0.3837400455422056,0
